employee_id,store_id,salary
989,99,27764
990,67,23477
991,16,77120
992,93,30427
993,30,69759
994,12,61251
995,52,55959
996,9,24914
997,82,79117
998,4,33964
999,21,38532
1000,49,47050
