order_id,customer_id,store_id,order_date,promotion_id
79,7001,79,4/20/2020,34
80,36347,81,8/31/2021,31
81,18873,91,5/6/2022,12
82,16629,30,8/1/2021,15
83,24395,26,7/9/2023,15
84,787,21,4/19/2022,13
85,30914,17,11/17/2023,5
86,26653,98,11/7/2021,2
87,25683,77,7/10/2020,10
88,45044,30,10/27/2022,35
89,47888,65,3/8/2020,6
90,37276,40,9/19/2021,19
91,2617,42,8/18/2021,35
92,1583,21,2/14/2021,21
93,19730,27,9/3/2020,37
94,18240,87,11/15/2023,34
95,27419,5,2/19/2023,49
96,29759,6,5/24/2020,3
97,11472,37,7/18/2020,9
98,17215,47,4/8/2022,23
99,27554,50,11/11/2022,3
100,9504,99,1/21/2021,24
101,8250,94,6/26/2020,47
102,29863,31,9/9/2023,27
103,5224,5,2/6/2022,2
104,29830,91,12/31/2021,22
105,45895,43,11/20/2021,39
106,33038,56,11/14/2020,35
107,31852,55,12/26/2022,39
108,26897,74,2/3/2022,1
109,17800,8,7/2/2023,49
110,2393,92,3/26/2021,39
111,33653,10,3/9/2023,36
112,45722,75,12/19/2023,44
113,39522,1,6/14/2021,6
114,30233,95,12/9/2023,39
115,40969,5,11/3/2022,25
116,17255,88,5/25/2023,37
117,47773,54,1/26/2021,22
118,40732,93,6/8/2023,35
119,38059,27,4/30/2022,21
120,34612,5,6/8/2021,12
121,3405,10,4/17/2021,46
122,42182,69,7/31/2022,50
123,6859,88,4/7/2020,30
124,9599,97,6/30/2020,44
125,1968,91,11/27/2022,30
126,29847,46,9/9/2022,33
127,14827,57,2/20/2020,26
128,22545,53,9/20/2020,14
129,26557,18,5/3/2020,27
130,4625,24,5/18/2020,31
131,45235,87,4/20/2020,26
132,10739,94,2/27/2022,38
133,42355,89,3/6/2021,11
134,44568,24,4/25/2020,26
135,15654,52,5/8/2022,21
136,26724,6,8/3/2023,20
137,32384,17,11/17/2023,32
138,10811,46,10/26/2020,36
139,41901,64,9/6/2021,12
140,47168,22,6/24/2023,42
141,18241,97,5/12/2020,49
142,15458,5,6/27/2022,49
143,22074,6,12/12/2021,48
144,1018,72,1/18/2020,40
145,31293,96,10/20/2020,30
146,28907,86,5/12/2021,6
147,6197,100,6/17/2021,10
148,5492,17,9/9/2023,3
149,1701,50,4/9/2020,48
150,47262,51,5/21/2023,18
151,2522,82,4/28/2020,15
152,8806,3,9/4/2020,30
153,35451,59,10/30/2020,6
154,30307,4,3/18/2020,22
155,3701,90,10/27/2022,50
156,46780,9,6/17/2023,48
157,39044,64,9/16/2023,13
158,48501,60,1/5/2020,16
159,47975,14,11/5/2020,30
160,24053,4,8/2/2022,43
161,31875,3,7/25/2022,7
162,21807,17,3/19/2021,41
163,34219,94,6/9/2023,25
164,32276,77,11/24/2021,26
165,14853,41,9/16/2020,2
166,34927,76,5/17/2020,43
167,42854,58,5/7/2020,40
168,28945,80,10/6/2021,27
169,34678,27,8/31/2022,10
170,49677,3,12/22/2020,6
171,21979,69,2/15/2020,1
172,27255,98,7/31/2023,33
173,13219,78,2/15/2020,45
174,29119,33,4/21/2021,34
175,25286,5,9/11/2022,44
176,48551,84,11/8/2020,31
177,43316,1,6/15/2021,12
178,24346,74,10/26/2023,49
179,7777,42,3/30/2021,2
180,23920,71,2/23/2023,40
181,32340,51,10/2/2023,50
182,42036,14,9/18/2020,33
183,45118,63,2/17/2020,7
184,36041,31,4/8/2020,18
185,34875,20,1/21/2020,30
186,44044,66,12/8/2021,5
187,10936,73,9/11/2020,19
188,36034,5,10/13/2022,8
189,16669,73,6/1/2020,29
190,19760,89,5/30/2021,3
191,25043,83,11/30/2023,19
192,2651,35,10/22/2020,40
193,34582,2,3/24/2021,17
194,21065,98,3/11/2021,34
195,45924,59,11/28/2022,10
196,33358,27,4/22/2023,29
197,38358,76,8/1/2022,25
198,6717,40,6/22/2023,45
199,35544,38,4/3/2023,45
200,1064,26,12/25/2023,26
201,17322,21,4/11/2023,50
202,43423,97,6/20/2020,22
203,48338,7,8/5/2020,19
204,16714,62,8/19/2023,39
205,30214,34,2/1/2020,27
206,45409,4,11/2/2020,35
207,21474,10,6/20/2023,22
208,17178,44,7/20/2022,3
209,27153,9,1/27/2022,10
210,1073,9,4/20/2020,43
211,7278,14,10/17/2020,37
212,1415,38,7/29/2020,31
213,28718,8,2/8/2020,41
214,26385,88,3/29/2023,6
215,6065,8,12/10/2022,4
216,171,29,6/15/2023,23
217,30061,38,5/22/2023,1
218,5266,10,12/20/2022,4
219,30046,41,8/29/2021,37
220,30295,41,12/16/2022,10
221,9220,64,6/19/2021,14
222,20602,98,2/16/2020,3
223,12447,49,11/17/2023,32
224,506,71,11/4/2022,10
225,24083,64,7/28/2023,26
226,44521,94,9/19/2021,34
227,43433,4,4/27/2021,19
228,1841,99,2/9/2021,19
229,46767,60,1/29/2022,37
230,36177,81,11/19/2021,39
231,31939,84,11/6/2023,40
232,29141,33,4/11/2021,33
233,12586,91,2/26/2022,41
234,33722,10,11/27/2020,34
235,33878,94,3/3/2020,12
236,31925,61,8/12/2022,10
237,39214,61,3/21/2022,42
238,9534,63,4/7/2020,47
239,28788,25,7/12/2020,39
240,49997,4,10/5/2022,17
241,14746,49,7/27/2022,8
242,24877,72,12/8/2022,14
243,13943,48,8/21/2023,25
244,33230,9,9/5/2022,25
245,1102,49,4/28/2021,31
246,23121,20,4/25/2020,7
247,14858,64,9/21/2023,3
248,23195,12,11/30/2022,26
249,11636,37,9/30/2021,8
250,30838,13,7/6/2020,23
251,15177,32,3/10/2023,31
252,22656,61,12/3/2022,19
253,36466,12,5/22/2021,10
254,39876,12,3/15/2023,43
255,39106,34,8/27/2020,42
256,31380,83,12/10/2020,21
257,25960,8,8/27/2023,50
258,16514,68,3/16/2021,37
259,26182,94,11/11/2021,48
260,45742,9,6/9/2022,13
261,447,53,3/19/2022,4
262,49606,47,12/8/2020,16
263,23075,4,1/1/2020,47
264,22563,11,7/14/2021,11
265,8266,59,6/26/2020,44
266,15303,74,6/11/2021,30
267,5438,8,6/22/2022,15
268,7167,19,7/9/2023,22
269,9294,99,4/1/2023,5
270,24845,94,4/7/2021,8
271,46542,65,12/27/2022,44
272,16122,90,1/28/2020,39
273,22919,76,8/8/2022,13
274,28460,62,11/12/2021,7
275,38279,63,7/21/2023,29
276,15942,3,11/10/2023,15
277,24123,33,8/20/2023,39
278,48100,89,2/17/2022,48
279,37080,79,6/18/2023,14
280,20714,16,1/7/2020,35
281,24240,21,6/20/2023,41
282,49756,40,4/23/2023,4
283,31489,7,6/2/2021,15
284,46441,4,10/3/2022,21
285,1482,16,4/15/2020,10
286,5399,19,5/3/2020,3
287,45854,45,5/10/2023,34
288,12994,11,8/18/2023,29
289,43420,85,11/12/2023,39
290,48124,13,1/19/2023,15
291,35573,50,11/7/2021,5
292,42344,6,5/31/2020,45
293,9187,11,2/24/2020,36
294,18757,86,8/3/2023,38
295,18445,3,6/3/2020,21
296,14698,59,3/9/2023,5
297,15664,29,3/28/2022,40
298,40774,84,3/20/2022,3
299,21652,81,11/26/2023,38
300,7715,22,7/21/2022,35
301,38850,75,10/30/2023,44
302,22595,65,11/30/2023,48
303,31345,65,6/29/2022,3
304,10257,63,5/16/2022,24
305,9002,68,3/26/2022,36
306,10671,69,2/9/2021,47
307,29760,100,8/6/2020,36
308,26647,8,11/30/2023,6
309,39386,71,7/22/2020,45
310,35213,27,12/26/2021,50
311,19785,62,11/9/2022,10
312,14625,18,8/25/2021,19
313,29661,49,8/4/2023,31
314,21111,82,12/19/2021,21
315,3757,79,3/10/2022,21
316,21254,24,8/22/2022,19
317,31595,23,10/11/2022,20
318,11252,97,9/30/2023,20
319,17588,4,8/21/2020,21
320,35091,89,6/28/2020,20
321,24416,72,5/24/2023,34
322,34431,91,2/11/2022,7
323,2274,92,5/21/2023,20
324,41309,18,3/2/2023,28
325,17072,60,1/2/2020,46
326,49093,24,11/30/2021,11
327,16406,30,10/20/2021,29
328,11087,7,5/31/2022,2
329,29582,61,8/6/2020,44
330,30193,21,2/2/2021,15
331,46974,15,12/17/2023,12
332,31468,91,5/6/2023,47
333,9566,67,7/18/2023,9
334,25617,22,12/20/2021,33
335,5936,25,1/29/2023,27
336,36288,85,9/7/2023,31
337,30423,78,9/3/2022,16
338,15305,48,1/4/2023,15
339,13371,85,7/11/2023,26
340,20876,86,4/18/2023,33
341,43324,16,2/26/2023,32
342,40645,91,7/28/2023,16
343,34902,48,2/20/2021,8
344,15540,26,4/10/2020,17
345,34125,27,6/14/2022,5
346,5289,13,3/8/2020,13
347,24865,82,1/9/2022,13
348,13078,81,5/27/2022,10
349,38406,29,10/12/2023,46
350,35610,79,3/22/2022,27
351,35220,34,12/3/2020,27
352,23216,95,6/27/2022,44
353,43805,75,6/10/2022,31
354,35224,45,1/23/2022,37
355,18881,43,9/2/2020,12
356,2125,37,1/11/2023,41
357,35637,17,8/4/2020,33
358,12576,55,1/29/2020,28
359,39248,81,7/25/2023,15
360,43864,87,4/14/2020,2
361,613,71,12/18/2021,37
362,9042,89,3/14/2022,27
363,41578,51,4/29/2022,19
364,44995,84,7/28/2023,7
365,41037,39,3/8/2020,31
366,24662,4,11/13/2021,47
367,41662,64,11/10/2020,11
368,39460,62,9/1/2020,24
369,36902,83,4/20/2022,11
370,35455,20,6/24/2022,40
371,49434,40,1/27/2020,4
372,47641,69,2/14/2020,37
373,16530,13,6/26/2021,37
374,19823,45,5/6/2021,10
375,41865,94,1/9/2021,23
376,9878,81,12/3/2021,20
377,49735,94,1/25/2022,11
378,13502,11,4/17/2022,18
379,12729,61,7/6/2021,34
380,5757,28,2/12/2022,18
381,36073,93,1/25/2020,39
382,44777,32,5/21/2020,47
383,39683,29,1/10/2021,14
384,19236,58,3/29/2020,35
385,31167,21,1/3/2023,42
386,33778,81,4/17/2023,10
387,749,62,8/24/2023,21
388,22109,42,6/16/2021,41
389,29767,35,6/27/2022,9
390,32425,29,7/25/2022,8
391,39746,28,5/28/2021,12
392,24188,82,6/13/2023,4
393,43756,80,2/3/2020,16
394,44163,90,10/3/2021,28
395,9045,55,7/17/2023,7
396,30809,34,9/12/2023,15
397,28586,88,4/1/2023,37
398,37324,45,12/26/2022,17
399,27946,67,10/26/2020,9
400,4400,14,11/26/2022,42
401,231,60,9/3/2023,1
402,45801,7,2/4/2022,7
403,8626,10,4/13/2023,5
404,48714,51,6/17/2020,22
405,48186,85,1/11/2020,28
406,47517,77,5/31/2023,38
407,24800,78,2/14/2022,6
408,15026,18,2/9/2023,47
409,21464,2,8/19/2021,34
410,40638,4,5/16/2020,48
411,18546,9,1/19/2020,37
412,49379,63,5/19/2020,3
413,19591,6,4/13/2022,16
414,1809,37,10/26/2022,24
415,35952,54,6/6/2022,17
416,32786,94,8/16/2021,33
417,24581,8,2/23/2021,46
418,17966,62,11/13/2022,48
419,25711,85,2/29/2020,37
420,44698,91,6/12/2020,21
421,21994,79,7/18/2020,36
422,23734,22,6/27/2023,20
423,48687,98,7/6/2020,10
424,875,68,4/25/2020,11
425,15099,71,1/19/2023,28
426,23426,19,7/5/2023,14
427,8854,29,8/24/2021,20
428,39737,62,11/2/2021,24
429,14934,14,12/18/2020,40
430,21893,20,6/23/2023,50
431,29273,4,1/7/2022,33
432,42309,31,5/20/2021,39
433,8153,65,10/3/2023,12
434,6580,47,12/14/2020,17
435,10791,100,3/15/2023,36
436,27288,100,1/23/2020,19
437,3168,51,6/16/2020,3
438,44836,100,6/16/2023,25
439,35380,53,1/13/2020,12
440,14370,17,2/6/2023,11
441,49868,96,11/10/2023,40
442,43635,31,9/8/2022,38
443,22006,23,3/24/2023,39
444,25853,88,1/23/2022,19
445,43776,1,8/21/2022,7
446,17788,40,8/24/2023,11
447,31591,59,4/6/2021,34
448,17848,54,1/24/2021,23
449,29024,46,11/30/2023,31
450,1321,25,1/15/2021,11
451,46740,24,12/7/2021,7
452,42108,76,1/1/2024,15
453,46938,12,12/7/2022,19
454,8217,94,3/4/2023,3
455,19849,54,12/6/2022,30
456,11334,48,3/27/2021,49
457,30238,85,1/13/2020,45
458,34501,79,4/15/2023,6
459,42077,35,12/22/2022,10
460,15011,98,6/28/2022,47
461,24127,100,12/6/2023,15
462,16981,77,4/14/2021,26
463,11262,73,5/18/2020,24
464,2486,12,11/27/2020,16
465,2129,59,2/22/2020,41
466,14645,9,4/28/2022,43
467,4381,59,11/21/2022,16
468,11149,23,5/8/2020,4
469,33979,15,4/14/2021,27
470,41476,93,2/27/2023,33
471,45858,28,1/3/2022,31
472,22075,64,8/23/2021,38
473,41587,63,8/30/2022,37
474,15168,64,12/8/2020,3
475,48950,1,8/9/2020,20
476,6941,30,8/9/2020,22
477,36650,13,1/15/2020,17
478,32386,59,7/11/2022,2
479,33737,82,4/27/2020,10
480,36668,35,12/14/2021,7
481,30079,88,8/4/2021,16
482,32144,28,3/25/2020,15
483,36135,82,11/21/2020,24
484,26762,70,2/11/2023,26
485,34879,23,7/16/2020,35
486,16064,98,5/3/2023,7
487,38292,41,11/18/2021,41
488,39897,46,4/28/2023,16
489,21327,68,11/3/2023,7
490,48759,79,10/28/2021,28
491,9079,23,6/27/2022,42
492,33485,43,11/19/2020,31
493,33618,54,3/2/2021,43
494,25745,27,6/14/2020,1
495,24295,14,1/14/2020,12
496,27838,73,4/23/2022,2
497,14359,19,6/9/2022,20
498,18202,48,9/17/2022,33
499,23221,65,8/4/2020,14
500,125,13,1/6/2022,12
501,30543,43,10/21/2021,14
502,25115,65,7/7/2022,8
503,14623,83,2/12/2020,44
504,35834,27,2/28/2023,30
505,38649,59,4/16/2020,32
506,37673,55,10/18/2020,36
507,27632,61,10/6/2023,11
508,5967,11,9/10/2021,30
509,12913,85,2/26/2022,17
510,16076,73,4/11/2021,27
511,12464,91,11/27/2021,28
512,2135,51,11/20/2023,26
513,25473,54,5/6/2020,7
514,35765,24,3/3/2020,37
515,5206,84,5/17/2022,1
516,45950,90,9/28/2023,4
517,2719,14,11/19/2022,37
518,33385,42,4/12/2020,32
519,31021,25,4/2/2020,45
520,6570,29,2/6/2020,30
521,32638,19,5/9/2022,20
522,21127,73,2/22/2022,22
523,34077,12,9/15/2020,28
524,39344,67,11/6/2023,36
525,47207,88,8/28/2021,1
526,19812,32,4/8/2021,20
527,39909,97,3/2/2020,46
528,25042,68,3/24/2021,46
529,3758,74,5/20/2022,25
530,24845,72,10/12/2020,35
531,22437,72,2/13/2021,12
532,46177,12,8/8/2020,12
533,42884,55,10/31/2022,41
534,24240,3,5/11/2023,25
535,38255,40,2/22/2020,6
536,29104,88,2/19/2023,25
537,33425,57,1/2/2022,2
538,32045,36,10/22/2022,13
539,20899,14,11/15/2020,49
540,10077,37,6/17/2023,10
541,9995,16,8/2/2023,33
542,42380,95,12/17/2020,26
543,42366,32,3/16/2022,47
544,6682,35,3/19/2022,15
545,42615,80,4/16/2022,39
546,47533,13,2/17/2020,15
547,28174,52,7/16/2021,20
548,9095,10,4/23/2023,39
549,37720,49,1/4/2020,1
550,4288,73,11/19/2022,40
551,35528,11,4/25/2023,4
552,22649,16,2/29/2020,10
553,24851,89,12/3/2022,16
554,13065,44,4/19/2023,44
555,33876,36,11/9/2021,34
556,6390,59,4/14/2021,8
557,20452,54,5/9/2021,10
558,20928,61,12/9/2023,27
559,16132,38,5/11/2023,3
560,12599,57,3/31/2021,28
561,761,21,4/4/2020,1
562,39850,43,9/8/2020,41
563,16174,78,12/25/2021,35
564,37446,68,6/16/2023,46
565,6695,49,8/3/2020,24
566,43609,76,2/21/2021,18
567,2074,57,7/6/2022,11
568,39190,57,4/13/2022,39
569,1915,33,9/1/2021,12
570,34278,83,8/15/2023,6
571,31393,100,9/9/2023,17
572,46270,99,6/28/2022,7
573,42188,17,6/28/2020,31
574,32608,15,4/24/2022,46
575,27143,67,1/4/2020,42
576,29993,30,4/4/2023,33
577,1351,88,2/26/2020,42
578,9986,43,7/31/2020,8
579,12727,52,2/14/2022,45
580,37469,36,8/18/2023,31
581,24832,89,9/20/2021,30
582,24626,20,10/8/2021,19
583,37329,81,9/8/2020,32
584,15647,32,10/12/2023,14
585,14640,59,1/31/2021,50
586,10269,64,9/30/2023,12
587,804,68,5/9/2023,45
588,192,48,10/1/2021,47
589,39543,88,12/17/2021,12
590,17287,9,6/16/2023,46
591,41628,33,3/14/2021,27
592,8722,40,11/6/2022,23
593,36005,68,4/20/2021,20
594,360,76,11/14/2020,11
595,16574,20,6/22/2023,38
596,17048,22,4/21/2022,8
597,47174,58,4/1/2020,43
598,4785,82,6/11/2023,11
599,41898,67,2/28/2023,39
600,5444,62,10/17/2021,50
601,32507,16,1/27/2022,21
602,37242,65,12/22/2022,14
603,1408,95,2/19/2021,44
604,23790,41,8/7/2023,4
605,4591,52,12/13/2021,46
606,6379,91,11/3/2023,37
607,44654,43,9/7/2023,44
608,15424,72,11/12/2020,46
609,34686,55,9/2/2021,12
610,30999,43,8/17/2021,43
611,4789,70,3/14/2020,12
612,36253,76,8/28/2023,20
613,42283,94,3/8/2021,24
614,3628,78,5/10/2023,22
615,25177,48,10/23/2023,35
616,41773,78,12/31/2021,31
617,25409,5,4/3/2021,42
618,30965,53,7/14/2023,14
619,39479,93,12/19/2020,44
620,9404,29,3/22/2023,37
621,4171,77,11/7/2023,8
622,9762,20,10/4/2020,18
623,25961,15,9/1/2020,2
624,39908,11,8/3/2020,26
625,47790,40,10/16/2023,2
626,37801,18,9/1/2020,46
627,7273,87,12/8/2020,19
628,28543,76,9/21/2020,44
629,31770,24,9/20/2022,34
630,3017,22,5/2/2022,41
631,33496,7,11/5/2023,38
632,31524,36,9/6/2023,31
633,3992,12,3/17/2020,38
634,26076,22,12/12/2020,28
635,38243,72,3/13/2023,32
636,21131,5,5/24/2020,7
637,44784,4,11/7/2020,20
638,13279,61,2/17/2020,47
639,38500,9,7/23/2020,18
640,45313,66,9/4/2020,28
641,12650,78,8/30/2020,27
642,34425,55,3/30/2023,18
643,5470,27,9/12/2020,24
644,35486,71,8/7/2022,5
645,43295,77,9/13/2023,19
646,43752,17,11/12/2021,17
647,40267,25,6/30/2021,20
648,22004,24,1/30/2020,50
649,44617,82,3/25/2023,20
650,44373,49,10/4/2021,16
651,17950,12,1/13/2020,35
652,15214,30,4/4/2023,48
653,15598,39,3/1/2022,47
654,333,87,1/30/2022,5
655,43363,2,10/30/2021,35
656,36480,45,9/5/2023,24
657,17509,85,2/21/2021,7
658,28555,46,1/21/2023,45
659,1705,93,3/31/2023,30
660,12966,18,8/9/2023,47
661,20308,5,10/23/2021,19
662,20209,44,12/5/2022,5
663,21326,2,10/11/2020,50
664,42005,39,2/1/2023,29
665,39117,51,11/26/2020,22
666,43058,3,8/24/2020,43
667,35065,55,3/9/2020,25
668,15948,29,4/19/2021,9
669,18790,85,7/5/2023,24
670,49747,20,3/7/2021,49
671,30685,12,10/1/2021,29
672,42740,63,4/12/2022,44
673,37338,17,2/25/2020,8
674,33899,39,6/20/2020,47
675,27140,86,5/12/2023,42
676,35558,29,7/12/2020,1
677,45157,62,7/7/2022,5
678,18352,50,9/6/2023,43
679,33292,6,8/19/2023,47
680,9175,28,4/5/2021,9
681,41647,19,1/20/2021,50
682,2491,81,9/22/2023,31
683,27481,64,10/13/2022,30
684,17752,7,4/4/2021,22
685,23874,81,2/9/2021,29
686,46955,99,2/11/2023,1
687,11049,44,6/16/2020,8
688,5372,49,2/8/2022,6
689,12162,26,12/18/2020,28
690,36598,61,8/11/2020,26
691,46913,25,5/15/2021,3
692,35257,53,9/23/2022,41
693,5302,28,6/9/2023,15
694,20616,20,4/27/2023,45
695,40140,78,3/22/2023,14
696,17942,83,12/21/2023,19
697,34494,53,11/19/2021,16
698,32272,23,7/25/2023,22
699,9908,62,10/3/2021,28
700,5674,56,9/16/2020,30
701,15153,84,5/23/2022,39
702,41057,80,2/1/2021,3
703,29582,20,1/31/2020,10
704,32646,98,7/17/2021,16
705,30652,28,10/28/2023,17
706,27526,11,5/2/2022,11
707,14253,77,1/9/2021,2
708,22548,93,6/30/2022,45
709,16471,59,7/29/2023,35
710,15283,27,3/29/2021,11
711,7807,94,10/25/2023,15
712,35721,75,7/1/2020,46
713,7819,53,4/13/2023,25
714,42029,18,10/2/2020,48
715,43089,60,1/18/2023,15
716,23349,1,11/25/2022,13
717,37168,62,5/19/2022,44
718,26026,59,7/31/2021,38
719,45397,15,7/4/2023,32
720,27460,61,12/14/2022,34
721,13761,37,10/30/2020,35
722,37006,93,7/9/2023,43
723,37888,9,9/26/2022,16
724,22354,36,8/26/2022,6
725,2942,54,11/26/2021,21
726,49690,79,8/8/2022,40
727,33274,7,4/24/2021,39
728,4712,24,11/12/2020,34
729,49286,93,8/19/2021,19
730,25449,46,8/5/2020,2
731,20995,33,6/29/2020,29
732,28417,34,1/28/2020,38
733,28493,70,7/10/2021,38
734,4042,95,9/20/2021,49
735,16696,1,1/14/2021,28
736,38115,100,2/12/2020,5
737,23525,43,8/9/2020,4
738,48510,26,11/7/2020,24
739,15672,35,9/11/2023,34
740,24130,20,9/14/2020,40
741,33846,78,6/7/2021,15
742,16335,69,8/21/2021,15
743,26581,28,1/10/2020,13
744,37406,72,3/9/2020,11
745,18327,41,3/22/2023,29
746,29924,18,10/14/2021,35
747,17277,43,4/27/2022,31
748,45552,75,2/1/2022,39
749,45506,11,10/28/2021,31
750,33983,44,1/31/2021,1
751,27938,79,1/29/2023,13
752,9875,27,7/13/2022,3
753,29144,13,12/28/2022,50
754,46837,9,6/14/2021,47
755,31656,95,12/9/2022,15
756,36803,80,7/31/2023,2
757,20660,18,9/30/2022,11
758,23189,48,7/29/2022,30
759,47495,69,10/3/2023,43
760,29277,13,8/5/2020,25
761,24815,73,11/11/2021,41
762,37363,87,8/24/2022,37
763,14142,32,12/9/2022,35
764,22445,27,5/26/2020,15
765,17710,12,12/24/2023,33
766,18358,18,3/3/2023,37
767,16525,38,2/26/2021,19
768,16356,35,1/1/2021,32
769,17201,82,4/3/2023,1
770,30368,64,11/3/2022,9
771,20549,52,8/31/2022,24
772,5485,41,12/26/2021,43
773,45426,84,11/12/2020,16
774,19710,73,8/9/2022,5
775,31465,73,2/17/2022,34
776,16485,21,8/28/2020,30
777,11855,43,12/18/2020,20
778,43975,99,12/7/2020,12
779,32850,15,3/10/2022,20
780,13952,72,4/13/2023,4
781,2302,57,8/26/2020,19
782,21811,4,2/15/2021,1
783,17730,89,11/18/2020,36
784,23052,97,8/7/2023,36
785,28062,99,3/3/2023,35
786,14223,36,1/24/2021,6
787,36052,54,1/28/2021,42
788,46459,60,8/7/2023,15
789,3499,24,5/21/2021,35
790,7138,40,8/30/2021,35
791,47321,76,4/4/2020,28
792,20400,96,3/23/2021,19
793,6446,37,6/25/2021,3
794,18913,51,11/28/2021,43
795,15849,18,12/21/2022,48
796,26555,44,3/22/2021,36
797,19402,95,2/11/2021,41
798,36748,61,7/15/2021,42
799,16423,15,7/28/2020,36
800,37412,8,1/22/2022,23
801,36902,54,8/25/2023,16
802,21903,44,3/28/2021,26
803,45568,68,1/6/2021,10
804,25234,41,7/31/2020,5
805,14364,19,8/16/2020,23
806,20702,89,4/12/2020,9
807,44374,62,7/14/2022,26
808,42014,24,5/7/2023,47
809,18879,52,4/29/2022,25
810,12599,26,2/2/2020,25
811,23695,22,5/10/2023,22
812,19740,78,9/12/2021,31
813,33371,37,2/19/2020,12
814,15702,2,1/11/2020,43
815,9779,31,2/7/2023,5
816,9190,42,1/6/2022,5
817,22880,48,10/11/2022,36
818,16668,99,3/12/2020,50
819,47897,34,7/27/2023,4
820,18162,71,9/24/2023,36
821,33968,72,6/13/2021,17
822,7864,27,9/5/2020,2
823,33503,62,7/16/2022,21
824,5876,43,9/30/2020,47
825,16852,80,10/30/2020,3
826,22889,36,6/6/2020,4
827,30210,72,7/30/2022,35
828,15999,78,9/2/2021,9
829,35642,72,4/3/2022,2
830,47210,25,5/11/2020,5
831,32775,71,5/13/2023,40
832,9538,64,1/19/2021,21
833,33026,63,4/8/2021,16
834,32478,62,4/12/2022,46
835,47872,90,2/27/2023,48
836,29535,4,12/11/2022,34
837,3245,51,2/19/2022,18
838,37012,5,6/10/2023,19
839,22615,40,4/2/2023,33
840,4622,31,7/10/2020,47
841,44384,87,5/8/2020,29
842,32039,39,6/13/2020,6
843,23021,71,8/29/2022,31
844,48631,98,3/30/2020,33
845,48009,91,2/17/2023,18
846,17331,9,11/13/2020,27
847,36017,57,11/10/2021,35
848,32656,31,10/21/2020,15
849,1357,41,10/28/2020,40
850,4379,81,7/10/2021,45
851,31117,63,4/22/2022,22
852,41802,22,8/6/2021,2
853,19107,99,6/16/2021,24
854,14093,29,9/24/2022,20
855,26523,33,2/3/2020,36
856,17633,11,5/27/2023,19
857,12207,68,1/21/2022,17
858,14978,45,6/14/2021,33
859,23245,85,6/8/2021,48
860,31007,77,3/19/2022,25
861,5519,68,7/15/2023,12
862,6015,97,6/25/2020,30
863,14256,73,12/5/2022,8
864,22099,67,10/22/2022,14
865,37085,71,2/18/2021,19
866,48460,81,4/6/2022,44
867,37549,7,10/13/2020,47
868,4805,46,5/7/2022,14
869,18707,18,9/22/2022,12
870,16773,93,2/5/2022,45
871,44289,44,3/2/2021,24
872,2049,74,10/3/2020,49
873,35533,68,7/30/2020,32
